# LAMMPS data file written by OVITO Basic 3.9.4

4112 atoms
4 atom types

0.0 138.0 xlo xhi
0.0 23.4464874124 ylo yhi
0.0 12.3617947322 zlo zhi
9.6639447442 -3.6477654233 6.1480271971 xy xz yz

Masses

1 12.0107  # C
2 1.00794  # H
3 15.9994  # O
4 14.0067  # N

Atoms  # charge

1 1 0.0 3.8922383266 12.6979388449 12.0513900664
2 1 0.0 2.6012549994 13.508853205 12.1002191556
3 1 0.0 1.3186724721 12.6775931163 12.0840252045
4 1 0.0 1.3051871466 11.1590641325 12.0073820772
5 1 0.0 2.6043995582 10.3542637973 11.9416173292
6 1 0.0 3.8922148301 11.1754926955 11.9777137698
7 2 0.0 2.5952526003 14.6463382006 12.1777276086
8 2 0.0 2.6113070967 9.214894318 11.8966203964
9 3 0.0 5.2966052197 10.9731476349 12.0408825409
10 4 0.0 5.2945790934 12.9959151228 12.1640060164
11 1 0.0 6.1274792424 11.932255294 12.1661075216
12 1 0.0 10.6530849558 11.8991973813 12.3584570476
13 1 0.0 9.8953625903 10.5665826544 12.3392962657
14 1 0.0 8.3697410315 10.5781011941 12.2950410406
15 1 0.0 7.6341580528 11.9228427813 12.2886129073
16 1 0.0 12.0384664137 7.1062580289 0.0218803767
17 1 0.0 13.5646189306 7.0948719896 0.0541446609
18 2 0.0 7.7862176871 9.6000508052 12.2528873206
19 2 0.0 11.467188197 8.0926242763 0.0510542122
20 2 0.0 14.1490088005 8.072479419 0.1024792783
21 4 0.0 -0.0594675675 12.9489939372 12.2488079283
22 3 0.0 -0.0790171974 10.8608225721 12.0983648864
23 1 0.0 -0.8374198092 11.8773504801 12.2782289998
24 2 0.0 10.4655703453 9.5792292985 12.3307666274
25 1 0.0 16.8918383266 12.6979388449 12.0513900664
26 1 0.0 15.6022349994 13.508853205 12.1002191556
27 1 0.0 14.3182724721 12.6775931163 12.0840252045
28 1 0.0 14.3047871466 11.1590641325 12.0073820772
29 1 0.0 15.6039995582 10.3542637973 11.9416173292
30 1 0.0 16.8918148301 11.1754926955 11.9777137698
31 2 0.0 15.5948526003 14.6463382006 12.1777276086
32 2 0.0 15.6109070967 9.214894318 11.8966203964
33 4 0.0 18.2941790934 12.9959151228 12.1640060164
34 3 0.0 18.2962052197 10.9731476349 12.0408825409
35 1 0.0 19.1270792424 11.932255294 12.1661075216
36 1 0.0 23.6526849558 11.8991973813 12.3584570476
37 1 0.0 22.8949625903 10.5665826544 12.3392962657
38 1 0.0 21.3707210315 10.5781011941 12.2950410406
39 1 0.0 20.6351380528 11.9228427813 12.2886129073
40 1 0.0 25.0380664137 7.1062580289 0.0218803767
41 1 0.0 26.5655989306 7.0948719896 0.0541446609
42 2 0.0 20.7858176871 9.6000508052 12.2528873206
43 2 0.0 24.6839685797 7.6586297943 0.0510542122
44 2 0.0 26.8241298869 7.7472766386 0.1024792783
45 4 0.0 12.9415124325 12.9489939372 12.2488079283
46 3 0.0 12.9205828026 10.8608225721 12.0983648864
47 1 0.0 12.1621801908 11.8773504801 12.2782289998
48 2 0.0 23.4651703453 9.5792292985 12.3307666274
49 1 0.0 29.8914383266 12.6979388449 12.0513900664
50 1 0.0 28.6018349994 13.508853205 12.1002191556
51 1 0.0 27.3192524721 12.6775931163 12.0840252045
52 1 0.0 27.3043871466 11.1590641325 12.0073820772
53 1 0.0 28.6049795582 10.3542637973 11.9416173292
54 1 0.0 29.8927948301 11.1754926955 11.9777137698
55 2 0.0 28.5953133349 14.2667395693 12.1777276086
56 2 0.0 28.6118870967 9.214894318 11.8966203964
57 4 0.0 31.2951590934 12.9959151228 12.1640060164
58 3 0.0 31.2958052197 10.9731476349 12.0408825409
59 1 0.0 32.1280592424 11.932255294 12.1661075216
60 1 0.0 36.6536649558 11.8991973813 12.3584570476
61 1 0.0 35.8959425903 10.5665826544 12.3392962657
62 1 0.0 34.3703210315 10.5781011941 12.2950410406
63 1 0.0 33.6347380528 11.9228427813 12.2886129073
64 1 0.0 38.0376664137 7.1062580289 0.0218803767
65 1 0.0 39.5651989306 7.0948719896 0.0541446609
66 2 0.0 33.7867976871 9.6000508052 12.2528873206
67 2 0.0 37.467768197 8.0926242763 0.0510542122
68 2 0.0 40.1495888005 8.072479419 0.1024792783
69 4 0.0 25.9411124325 12.9489939372 12.2488079283
70 3 0.0 25.9201828026 10.8608225721 12.0983648864
71 1 0.0 25.1617801908 11.8773504801 12.2782289998
72 2 0.0 36.4647703453 9.5792292985 12.3307666274
73 1 0.0 42.8924183266 12.6979388449 12.0513900664
74 1 0.0 41.6014349994 13.508853205 12.1002191556
75 1 0.0 40.3188524721 12.6775931163 12.0840252045
76 1 0.0 40.3053671466 11.1590641325 12.0073820772
77 1 0.0 41.6045795582 10.3542637973 11.9416173292
78 1 0.0 42.8923948301 11.1754926955 11.9777137698
79 2 0.0 41.5954326003 14.6463382006 12.1777276086
80 2 0.0 41.6109667139 9.6488888 11.8966203964
