# LAMMPS data file written by OVITO Basic 3.10.3

1536 atoms
4 atom types

0.0 52.0 xlo xhi
0.0 23.4464874124 ylo yhi
0.0 12.3617947322 zlo zhi
9.6639447442 -3.6477654233 6.1480271971 xy xz yz

Masses

1 12.0107  # C
2 1.00794  # H
3 15.9994  # O
4 14.0067  # N

Atoms  # charge

1 1 0.0 5.6383573866 9.4581977681 6.2972218545
2 1 0.0 4.3625838216 10.2910070525 6.2613726498
3 1 0.0 3.071836657 9.4822643143 6.1367657589
4 1 0.0 3.0418468478 7.9618584701 6.0676633263
5 1 0.0 4.3292903815 7.1376621307 6.0831155697
6 1 0.0 5.6216645458 7.9384154914 6.1968440813
7 2 0.0 4.3709287829 11.4275438738 6.3308459362
8 2 0.0 4.3240120659 5.9996371853 6.0177216756
9 3 0.0 7.0446800567 9.9357645997 6.4220759813
10 4 0.0 7.017163647 7.4177236378 6.242211868
11 1 0.0 7.8617063396 8.6653032855 6.3708981511
12 1 0.0 12.3810341098 8.6116375324 6.3214509722
13 1 0.0 11.6178236479 7.2891582011 6.2033958325
14 1 0.0 10.0953106477 7.3067934993 6.2511123602
15 1 0.0 9.369845001 8.6482152364 6.3898116971
16 1 0.0 10.1330643619 9.9701867037 6.5365462005
17 1 0.0 11.6578113329 9.9521397567 6.4913020318
18 2 0.0 9.5031747047 6.3357441958 6.1721204918
19 2 0.0 9.5696124959 10.9530169406 6.6660978093
20 2 0.0 12.2515554657 10.9219384588 6.5795652462
21 1 0.0 3.7030609865 5.4178162433 3.6447515588
22 1 0.0 2.4139784643 6.2287103824 3.7255976964
23 1 0.0 1.1314609601 5.4224749205 3.5169306013
24 1 0.0 1.1161783911 3.9265300657 3.2462072967
25 1 0.0 2.4159511089 3.1206983049 3.1637541258
26 1 0.0 3.7028765945 3.9189776166 3.3705669517
27 2 0.0 2.4064233197 7.3482940222 3.9387150376
28 2 0.0 2.4231426235 1.9986531715 2.9607734563
29 3 0.0 5.1075209795 5.8983452179 3.803847857
30 4 0.0 5.1081739406 3.4164384228 3.3468323058
31 1 0.0 5.9422844454 4.6514292133 3.6076661746
32 3 0.0 12.7791164358 5.90144895 3.6898721096
33 3 0.0 1.6929424332 9.9796853565 6.1242803462
34 4 0.0 12.7607644722 3.3634637485 3.1248144724
35 4 0.0 1.6501350414 7.380909468 6.0093156552
36 1 0.0 0.8858948749 8.7085508171 6.0769346724
37 1 0.0 11.9821096091 4.6466649784 3.442512597
38 1 0.0 10.4729205542 4.6440003729 3.5248421499
39 1 0.0 9.7183389737 3.3322402955 3.2850233321
40 1 0.0 8.1939275775 3.3310214135 3.3386735213
41 1 0.0 7.4544814672 4.645043297 3.6179264643
42 1 0.0 8.2103706648 5.9504827713 3.8935944868
43 1 0.0 9.7361243417 5.9489942385 3.8495864975
44 2 0.0 7.6399049276 6.9114345143 4.1262434636
45 2 0.0 10.2897790595 2.3693647258 3.0654778577
46 2 0.0 7.6112338262 2.3676356971 3.1628888002
47 2 0.0 10.3207524665 6.9035657723 4.0547922901
48 2 0.0 12.1811011858 6.3064696379 6.0774291442
49 1 0.0 18.6346792298 9.4067231673 6.2715093215
50 1 0.0 17.3461075487 10.2153895026 6.3422187873
51 1 0.0 16.0653230493 9.3890080842 6.2684188728
52 1 0.0 16.048621912 7.872981811 6.1378783204
53 1 0.0 17.347561801 7.0695936057 6.0622241367
54 1 0.0 18.6336973173 7.888895253 6.134046164
55 2 0.0 17.3395494912 11.347767845 6.4599030732
56 2 0.0 17.3546823874 5.9340805444 5.9585086788
57 3 0.0 20.0372883937 9.9041564829 6.3556931436
58 4 0.0 20.0373171876 7.3883295436 6.1246512
59 1 0.0 20.8682220317 8.6444633475 6.2658228959
60 1 0.0 25.3873246443 8.6272260012 6.3061223467
61 1 0.0 24.6391198509 7.2981171154 6.1827516353
62 1 0.0 23.1158005799 7.3036858499 6.1878199711
63 1 0.0 22.3755508678 8.6394911111 6.3067404365
64 1 0.0 23.1238484062 9.9687455035 6.4591613655
65 1 0.0 24.6490416048 9.9631267449 6.4544638835
66 2 0.0 22.5350547457 6.3282454768 6.0938703312
67 2 0.0 22.5491216919 10.947582947 6.5580557234
68 2 0.0 25.2318202418 10.9381085031 6.55644869
69 1 0.0 16.7373296449 5.447697121 3.5935737286
70 1 0.0 15.4469280306 6.2443889932 3.7495795782
71 1 0.0 14.1639576669 5.4375135333 3.5537687496
72 1 0.0 14.1506068115 3.9501903883 3.2301369635
73 1 0.0 15.4525598852 3.1578449023 3.0795703037
74 1 0.0 16.7389564891 3.9582553938 3.2746394245
75 2 0.0 15.4398697224 7.3509648277 4.0185722315
76 2 0.0 15.4612503514 2.0413157879 2.8490228319
77 3 0.0 18.1415895515 5.9289493448 3.7484670166
78 4 0.0 18.1449553369 3.4612207629 3.2228435046
79 1 0.0 18.9762418764 4.6899951975 3.5164361295
